0,Fuerzas armadas
U,Fuerzas armadas
00,Fuerzas armadas
001,Escala superior
0010,Escala superior
002,Escala media
0020,Escala media
003,Escala básica
0030,Escala básica
1,Dirección de las empresas y de las administraciones públicas
A,Dirección de las administraciones públicas y de empresas de 10 o más asalariados
10,Poder ejecutivo y legislativo y dirección de las administraciones públicas; dirección de organizacio
101,Poder ejecutivo y legislativo, y consejo general del poder judicial
1011,Poder ejecutivo
1012,Poder legislativo
1013,Consejo general del poder judicial
102,Personal directivo de las administraciones publicas
1020,Personal directivo de las administraciones publicas
103,Gobierno local
1031,Alcaldías y concejalías de las capitales de provincia
1032,Alcaldías y concejalías de otros ayuntamientos
104,Dirección de organizaciones de interés
1041,Dirección de partidos políticos
1042,Dirección de organizaciones empresariales, de sindicatos de trabajadores y otras organizaciones de i
1043,Dirección de organizaciones humanitarias y otras organizaciones de interés
11,Dirección de empresas de 10 ó más asalariados
111,Dirección general y presidencia ejecutiva
1110,Dirección general y presidencia ejecutiva
112,Dirección de departamento de producción
1121,Dirección de departamento de producción en explotaciones agrarias, de caza, forestales y pesqueras
1122,Dirección de departamento de producción en empresas industriales
1123,Dirección de departamento de producción en empresas de construcción
1124,Dirección de departamento de operaciones en empresas de comercio
1125,Dirección de departamento de operaciones en empresas de hostelería
1126,Dirección de departamento de operaciones en empresas de transporte, almacenamiento y comunicaciones
1127,Dirección de departamento de operaciones en empresas de intermediación y servicios a otras empresas
1128,Dirección de departamento de operaciones en empresas de servicios personales, limpieza y similares
1129,Dirección de departamento de producción y operaciones de otras empresas no clasificadas anteriorment
113,Dirección de áreas y departamentos especializados
1131,Dirección de departamentos de administración y finanzas
1132,Dirección de departamentos de relaciones laborales y de recursos humanos
1133,Dirección de departamentos de comercialización y ventas
1134,Dirección de departamentos de publicidad y relaciones públicas
1135,Dirección de departamentos de abastecimiento y distribución
1136,Dirección de departamentos de servicios informáticos
1137,Dirección de departamentos de investigación y desarrollo
1138,Dirección de departamentos de servicios médicos
1139,Dirección de otros departamentos especializados no mencionados anteriormente
B,Gerencia de empresas con menos de 10 asalariados
12,Gerencia de empresas de comercio con menos de 10 asalariados
121,Gerencia de empresas de comercio al por mayor con menos de 10 asalariados
1210,Gerencia de empresas de comercio al por mayor con menos de 10 asalariados
122,Gerencia de empresas de comercio al por menor con menos de 10 asalariados
1220,Gerencia de empresas de comercio al por menor con menos de 10 asalariados
13,Gerencia de empresas de hostelería y restauración con menos de 10 asalariados
131,Gerencia de empresas de hospedaje con menos de 10 asalariados
1311,Gerencia de hoteles con menos de 10 asalariados
1312,Gerencia de pensiones con menos de 10 asalariados
1319,Gerencia de otras empresas de hospedaje con menos de 10 asalariados
132,Gerencia de empresas de restauración con menos de 10 asalariados
1320,Gerencia de empresas de restauración con menos de 10 asalariados
14,Gerencia de otras empresas con menos de 10 asalariados
140,Gerencia de otras empresas con menos de 10 asalariados
1401,Gerencia de explotaciones agrarias, de caza, de pesca y de silvicultura con menos de 10 asalariados
1402,Gerencia de empresas industriales con menos de 10 asalariados
1403,Gerencia de empresas de construcción con menos de 10 asalariados
1404,Gerencia de empresas de transporte, almacenamiento y comunicaciones con menos de 10 asalariados
1405,Gerencia de empresas de intermediación y servicios a otras empresas con menos de 10 asalariados
1406,Gerencia de empresas de servicios de cuidados personales, de limpieza y similares con menos de 10 as
1409,Gerencia de otras empresas con menos de 10 asalariados, no incluidas anteriormente
C,Gerencia de empresas sin asalariados
15,Gerencia de empresas de comercio sin asalariados
151,Gerencia de empresas de comercio al por mayor sin asalariados
1510,Gerencia de empresas de comercio al por mayor sin asalariados
152,Gerencia de empresas de comercio al por menor sin asalariados
1520,Gerencia de empresas de comercio al por menor sin asalariados
16,Gerencia de empresas de hostelería sin asalariados
161,Gerencia de empresas de hospedaje sin asalariados
1611,Gerencia de hoteles sin asalariados
1612,Gerencia de pensiones sin asalariados
1619,Gerencia de otras empresas de hospedaje sin asalariados
162,Gerencia de empresas de restauración sin asalariados
1620,Gerencia de empresas de restauración sin asalariados
17,Gerencia de otras empresas sin asalariados
170,Gerencia de otras empresas sin asalariados
1701,Gerencia de explotaciones agrarias, de caza, de pesca y de silvicultura sin asalariados
1702,Gerencia de empresas industriales sin asalariados
1703,Gerencia de empresas de construccion sin asalariados
1704,Gerencia de empresas de transporte, almacenamiento y comunicaciones sin asalariados
1705,Gerencia de empresas de intermediación y servicios a otras empresas sin asalariados
1706,Gerencia de empresas de servicios de cuidados personales, de limpieza y similares sin asalariados
1709,Gerencia de otras empresas sin asalariados
2,Técnicos y profesionales científicos e intelectuales
D,Profesiones asociadas a titulaciones de 2º y 3er ciclo universitario y afines
20,Profesiones asociadas a titulaciones de 2º y 3er ciclo universitario en ciencias físicas, químicas, 
201,Físicos, químicos y asimilados
2011,Físicos y astrónomos
2012,Meteorólogos
2013,Químicos
2014,Geólogos y geofísicos
202,Matemáticos, actuarios, estadísticos y asimilados
2021,Matemáticos y actuarios
2022,Estadísticos
203,Profesionales de la informática de nivel superior
2031,Analistas de sistemas y asimilados
2039,Otros profesionales de nivel superior de informática
204,Arquitectos, urbanistas e ingenieros planificadores de tráfico
2040,Arquitectos, urbanistas e ingenieros planificadores de tráfico
205,Ingenieros superiores
2051,Ingenieros en construcción y obra civil
2052,Ingenieros en electricidad
2053,Ingenieros en electrónica y telecomunicaciones
2054,Ingenieros mecánicos
2055,Ingenieros químicos
2056,Ingenieros de minas
2057,Ingenieros en metalurgia
2058,Ingenieros geógrafos
2059,Otros ingenieros superiores (excepto agropecuarios)
21,Profesiones asociadas a titulaciones de 2º y 3er ciclo universitario en ciencias naturales y sanidad
211,Profesionales en ciencias naturales
2111,Biólogos, botánicos, zoólogos y asimilados
2112,Patólogos, farmacólogos y asimilados
2113,Agrónomos y asimilados
212,Médicos y odontólogos
2121,Médicos
2122,Odontólogos
213,Veterinarios
2130,Veterinarios
214,Farmacéuticos
2140,Farmacéuticos
219,Otros profesionales de nivel superior de la sanidad
2190,Otros profesionales de nivel superior de la sanidad
22,Profesiones asociadas a titulaciones de 2º y 3er ciclo universitario en la enseñanza
221,Profesores de universidades y otros centros de enseñanza superior
2210,Profesores de universidades y otros centros de enseñanza superior
222,Profesores de enseñanza secundaria
2220,Profesores de enseñanza secundaria
223,Otros profesionales de la enseñanza
2231,Especialistas en métodos didácticos y pedagógicos
2232,Inspectores de enseñanza
2239,Otros diversos profesionales de la enseñanza
23,Profesionales del derecho
231,Abogados y fiscales
2311,Abogados
2312,Fiscales
232,Jueces y magistrados
2320,Jueces y magistrados
239,Otros profesionales del derecho
2391,Notarios
2392,Registradores
2393,Procuradores
2399,Otros diversos profesionales del derecho
24,Profesionales en organizaciones de empresas, profesionales en las ciencias sociales y humanas asocia
241,Profesionales en organización y administración de empresas
2411,Profesionales en contabilidad
2412,Profesionales en recursos humanos
2413,Profesionales de la publicidad y de las relaciones públicas
2419,Otros profesionales en organización y administración de empresas
242,Economistas
2420,Economistas
243,Sociólogos, historiadores, filósofos, filólogos, psicólogos y asimilados
2431,Sociólogos, antropólogos y asimilados
2432,Filosofos, historiadores y profesionales en ciencias politicas
2433,Filólogos, intérpretes y traductores
2434,Psicologos
25,Escritores, artistas y otras profesiones asociadas a
251,Escritores y artistas de la creación o de la interpretación
2511,Escritores, periodistas y asimilados
2512,Escultores, pintores y asimilados
2513,Compositores, musicos y cantantes
2514,Coreografos y bailarines
2515,Actores y directores de cine, radio, television y de teatro y asimilados
252,Archiveros, bibliotecarios y profesionales asimilados
2521,Archiveros y conservadores de museos
2522,Bibliotecarios, documentalistas y asimilados
253,Diversos profesionales de las administraciones publicas que no pueden ser clasificados en apartados 
2530,Diversos profesionales de las administraciones publicas que no pueden ser clasificados en apartados 
E,Profesiones asociadas a una titulación de 1er ciclo universitario y afines
26,Profesiones asociadas a una titulacion de 1er ciclo universitario en ciencias físicas, químicas, mat
261,Profesionales asociados a una titulación de 1er ciclo universitario en ciencias físicas, químicas y 
2611,Profesionales en ciencias físicas
2612,Profesionales en meteorología
2613,Profesionales en ciencias químicas
2614,Profesionales en ciencias geológicas
262,Profesionales asociados a una titulacion de 1er ciclo universitario en matematicas, estadistica y as
2621,Profesionales en ciencias matemáticas
2622,Profesionales en estadística y asimilados
263,Profesionales de nivel medio de informática
2631,Analistas de aplicaciones y programadores informáticos de nivel medio
2639,Otros profesionales de nivel medio de informática
264,Arquitectos técnicos
2640,Arquitectos técnicos
265,Ingenieros técnicos
2651,Ingenieros técnicos en construcción y obra civil
2652,Ingenieros técnicos en electricidad
2653,Ingenieros técnicos en electrónica y telecomunicaciones
2654,Ingenieros técnicos mecánicos
